filename,MAE,Cosine Distance
Sam_Bith_0002,0.17517100274562836,0.544
Sean_Hayes_0001,0.19056296348571777,0.549
Sergio_Garcia_0001,0.22163313627243042,0.412
Silvia_Farina_Elia_0001,0.27233776450157166,0.625
Steve_Ballmer_0001,0.26610758900642395,0.252
Stockard_Channing_0001,0.1959957778453827,0.367
Stockard_Channing_0002,0.1584884375333786,0.517
Terry_McAuliffe_0001,0.18152748048305511,0.194
Thomas_Rupprath_0001,0.24645951390266418,0.432
Thomas_Rupprath_0002,0.2593766748905182,0.347
Tom_Ridge_0006,0.2714216709136963,0.517
Tom_Ridge_0008,0.20029330253601074,0.498
Tom_Ridge_0009,0.2490893453359604,0.494
Tom_Ridge_0018,0.25003060698509216,0.167
Tommy_Haas_0004,0.19112220406532288,0.502
Tommy_Thompson_0001,0.2406936138868332,0.539
Tommy_Thompson_0002,0.25925636291503906,0.703
Tommy_Thompson_0004,0.20426934957504272,0.68
Tommy_Thompson_0006,0.27494505047798157,0.364
Tomoko_Hagiwara_0001,0.22428551316261292,0.493
Trent_Lott_0001,0.24538296461105347,0.425
Trent_Lott_0002,0.24315503239631653,0.449
Trent_Lott_0006,0.22544315457344055,0.538
Trent_Lott_0007,0.2306392937898636,0.483
Trent_Lott_0008,0.2261531800031662,0.345
Tsutomu_Takebe_0001,0.2143792361021042,0.473
Tyler_Hamilton_0001,0.240394726395607,0.466
Tyra_Banks_0001,0.20949071645736694,0.441
Vaclav_Havel_0002,0.2143780142068863,0.309
Vaclav_Havel_0004,0.1942959874868393,0.425
Vaclav_Havel_0005,0.22887596487998962,0.452
Valerie_Harper_0001,0.15186607837677002,0.393
Vince_Carter_0003,0.21657666563987732,0.338
Vincent_Brooks_0002,0.2557331919670105,0.465
Vincent_Brooks_0004,0.2139900177717209,0.424
Vincent_Gallo_0001,0.21702688932418823,0.49
Vitali_Klitschko_0001,0.2514926493167877,0.478
Vitali_Klitschko_0003,0.19855542480945587,0.271
William_Macy_0001,0.18002264201641083,0.446
William_Macy_0002,0.2946254312992096,0.2
William_Macy_0003,0.16858918964862823,0.444
Woody_Allen_0002,0.20877942442893982,0.377
Woody_Allen_0003,0.21283258497714996,0.446
Yukiko_Okudo_0001,0.19808483123779297,0.598
Zico_0001,0.18118783831596375,0.425
Zico_0002,0.18317843973636627,0.374
Abdel_Madi_Shabneh_0001,0.23264245688915253,0.484
Abdul_Rahman_0001,0.29858309030532837,0.454
Abel_Pacheco_0002,0.23690004646778107,0.6
Afton_Smith_0001,0.21952955424785614,0.599
Ahmad_Jbarah_0001,0.20388713479042053,0.455
Alan_Dershowitz_0001,0.22537195682525635,0.563
Alanis_Morissette_0001,0.2771933376789093,0.494
Alexander_Lukashenko_0001,0.21217875182628632,0.346
Alfonso_Cuaron_0001,0.19845938682556152,0.584
Alfonso_Soriano_0001,0.2826499938964844,0.342
Alonzo_Mourning_0001,0.25408604741096497,0.326
Amber_Tamblyn_0002,0.20980076491832733,0.263
Amporn_Falise_0001,0.16663579642772675,0.552
Anders_Fogh_Rasmussen_0002,0.18887093663215637,0.432
Andre_Bucher_0001,0.2329031229019165,0.227
Andrew_Gilligan_0001,0.18232564628124237,0.294
Andrew_Shutley_0001,0.2628054916858673,0.481
Andy_Dick_0001,0.26695579290390015,0.329
Andy_Griffith_0001,0.21041473746299744,0.361
Andy_Wisecarver_0001,0.22259588539600372,0.48
Angela_Lansbury_0001,0.23318877816200256,0.354
Angela_Lansbury_0002,0.2658334970474243,0.43
Ann_Veneman_0008,0.17671045660972595,0.534
Annie-Jeanne_Reynaud_0001,0.22628706693649292,0.436
Anthony_Carter_0001,0.19952788949012756,0.41
Antonio_Cassano_0001,0.22153903543949127,0.402
Armand_Sargen_0001,0.2674486041069031,0.224
Atom_Egoyan_0001,0.1503111571073532,0.382
Barbara_Brezigar_0002,0.18930445611476898,0.521
Barbara_Felt-Miller_0001,0.1715744584798813,0.568
Bart_Freundlich_0001,0.1952652633190155,0.64
Benjamin_Martinez_0001,0.2038554698228836,0.529
Benjamin_Netanyahu_0005,0.20569638907909393,0.439
